ggultra2764,C: The Money of Soul and Possibility Control,10163,7
ggultra2764,Gantz,384,4
ggultra2764,Btooom!,14345,7
ggultra2764,Guilty Crown,10793,5
ggultra2764,Accel World,11759,6
ggultra2764,Highschool of the Dead,8074,5
ggultra2764,Rokka no Yuusha,28497,6
ggultra2764,Akame ga Kill!,22199,5
ggultra2764,Sword Art Online,11757,5
ggultra2764,Fate/Apocrypha,34662,6
ggultra2764,Darling in the FranXX,35849,6
ggultra2764,Re:Creators,34561,8
ggultra2764,High School DxD,11617,6
ggultra2764,Eromanga-sensei,32901,3
ggultra2764,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,2
ggultra2764,Kuzu no Honkai,32949,8
GodBlessDXD,Highschool of the Dead,8074,8
GodBlessDXD,Absolute Duo,25397,5
GodBlessDXD,Sword Art Online,11757,9
GodBlessDXD,Sword Art Online II,21881,9
GodBlessDXD,Accel World,11759,6
GodBlessDXD,Elfen Lied,226,4
GodBlessDXD,High School DxD,11617,9
